Country,Confirmed,Deaths,Recovered,Active,Longitude,Latitude,DeathRatio
Greenland,1507,0,1372,135,-8009.6084,13480.897200000001,0.0
Grenada,2466,0,1848,618,-11595.652,2277.902,0.0
Guatemala,1273708,49133,416757,807818,-16963.3904,2967.2980000000002,0.03857477538022844
Guinea,403605,2356,276575,124674,-1822.9608,1869.7728000000002,0.005837390517956913
Guinea-Bissau,122994,1291,26036,95667,-2853.9152,2219.0955999999996,0.010496446981153552
Guyana,19089,1346,8521,9222,-11078.873840000002,913.7582080000003,0.07051181308607052
Haiti,333181,6663,87298,239220,-13589.617600000001,3566.5856,0.01999813914959136
Holy See,1356,0,742,614,2341.2392,7877.7452,0.0
Honduras,1228583,37941,135380,1055262,-16213.4772,2857.6,0.030881918437744946
Hungary,396247,51053,204205,140989,3666.6204,8866.550000000001,0.12884135400394198
Iceland,221241,1141,190132,29968,-3575.9104,12213.0628,0.005157271934225573
India,40883464,1111831,23783720,15987913,14845.02144,3871.612592,0.027195127105667953
Indonesia,4057909,220272,1677484,2160153,21417.2044,-148.3884,0.05428214383319094
Iran,19339267,1024136,15200895,3114236,10093.352647999998,6096.446704,0.05295629870563347
Iraq,3093628,121392,1790961,1181275,8211.706708,6245.959908,0.039239365560435835
Ireland,2571918,161948,1997530,412440,-1446.1148,9990.771200000001,0.06296779290786098
Israel,2677930,31627,1521162,1125141,6552.103056000001,5836.657588,0.011810241492496069
Italy,26745145,3707717,15673910,7363518,2362.66744,7871.92472,0.1386314039426595
Jamaica,61392,1005,36003,24384,-14531.93,3404.6048,0.01637021110242377
Japan,1952495,85559,1307911,559025,25991.549712,6806.506912000001,0.043820342689738
Jordan,93144,1041,68045,24058,6863.879999999999,5873.12,0.01117624323627931
Kazakhstan,2430707,14621,1342402,1073684,12581.6556,9027.684799999999,0.006015122349176598
Kenya,464603,10463,161998,292142,7126.3656,-4.4368,0.022520302279580632
Kosovo,225972,5229,122234,98509,3929.759676,8009.295568,0.02314003504859009
Kuwait,3120160,23084,2205347,891729,8926.572008,5510.59208,0.007398338546741193
Kyrgyzstan,596200,14979,301587,279634,14056.026424,7746.4234400000005,0.025124119423012414
